depth	poynting vector s	poynting vector p	poynting vector	absorption
nm	W/m^2	W/m^2	W/m^2	1/(s*m^3)
292.5	360.6741316171607	360.6741316171607	721.3482632343214	6.20101775963452E+26
300	360.1835656838645	360.1835656838645	720.367131367729	6.359666029255129E+26
307.5	359.67834074005225	359.67834074005225	719.3566814801045	6.490727768559211E+26
315	359.1644172862406	359.1644172862406	718.3288345724812	6.58495760047697E+26
322.5	358.64825132112543	358.64825132112543	717.2965026422509	6.643640675720887E+26
330	358.13453632285814	358.13453632285814	716.2690726457163	6.677345665357741E+26
337.5	357.6245858310878	357.6245858310878	715.2491716621756	6.70129448685372E+26
345	357.11595795288645	357.11595795288645	714.2319159057729	6.728913389461852E+26
352.5	356.6034978165571	356.6034978165571	713.2069956331142	6.76582581249557E+26
360	356.08147346694994	356.08147346694994	712.1629469338999	6.806458151122796E+26
367.5	355.5460814171078	355.5460814171078	711.0921628342156	6.83456504867164E+26
375	354.9974452270858	354.9974452270858	709.9948904541716	6.827628169045316E+26
382.5	354.4403851127254	354.4403851127254	708.8807702254508	6.76371068577735E+26
390	353.88365151327906	353.88365151327906	707.7673030265581	6.628447053782685E+26
397.5	353.3378494405846	353.3378494405846	706.6756988811692	6.41974708762375E+26
405	352.81274597950403	352.81274597950403	705.6254919590081	6.148550141384959E+26
412.5	352.3148830070116	352.3148830070116	704.6297660140232	5.835330099216113E+26
420	351.846323644629	351.846323644629	703.692647289258	5.503553112823771E+26
427.5	351.4049699244722	351.4049699244722	702.8099398489444	5.1723961476826916E+26
435	350.9863329925255	350.9863329925255	701.972665985051	4.851342360885421E+26
442.5	350.5861101189973	350.5861101189973	701.1722202379946	4.538650646124204E+26
450	350.20261323118535	350.20261323118535	700.4052264623707	4.224348976103113E+26
457.5	349.83811719957873	349.83811719957873	699.6762343991575	3.8967848810378245E+26
465	349.49855298202647	349.49855298202647	698.9971059640529	3.550447025474564E+26
472.5	349.19154356715416	349.19154356715416	698.3830871343083	3.192222204386489E+26
480	348.9233735281759	348.9233735281759	697.8467470563518	2.8436839995683295E+26
487.5	348.69588892578224	348.69588892578224	697.3917778515645	2.5382947701848743E+26
495	348.5043976276058	348.5043976276058	697.0087952552116	2.3141132780217835E+26
502.5	336.6489200499134	336.6489200499134	673.2978400998268	2.4247342310012852E+28
510	306.5561307895715	306.5561307895715	613.112261579143	1.996575867333392E+28
517.5	282.4648570491943	282.4648570491943	564.9297140983886	1.6797686723491267E+28
