wavelength	AM1.5G	GaInAs	AZO	reflected	transmitted
1.534E-06	268920000	0.5186060847696288	0.05438639227090381	0.41553829783736124	0.011469225122106203
1.535E-06	266860000	0.5240888121826762	0.05440463113482684	0.4099191714999751	0.011587385182521916
1.536E-06	274640000	0.5296486229845316	0.05442393624842024	0.4041817478379933	0.011745692929054833
1.537E-06	273360000	0.535337713650477	0.05444573062028528	0.39834958337028575	0.011866972358951946
1.538E-06	272020000	0.5410859053640458	0.05446849415411468	0.39241483978983566	0.012030760692003923
1.539E-06	272950000	0.5469468485893961	0.05449367954574419	0.38640112741165017	0.012158344453209485
1.54E-06	264910000	0.5529016409078725	0.05452056523866701	0.3802897111870507	0.01228808266640988
1.541E-06	269040000	0.5589290945319777	0.05454838814628138	0.37406256024632195	0.012459957075418918
1.542E-06	269270000	0.5650873006272449	0.05457868942381509	0.3677412947360506	0.012592715212889334
1.543E-06	272080000	0.5712972185556369	0.0546097879556889	0.3613229105731768	0.012770082915497435
1.544E-06	272100000	0.5776186125984814	0.05464325875584351	0.35482898992661144	0.01290913871906374
1.545E-06	277050000	0.5840290390047668	0.05467832172999012	0.34824237615954334	0.013050263105699735
1.546E-06	274810000	0.5905033859675338	0.05471414930624194	0.34154687791250316	0.013235586813720982
1.547E-06	273090000	0.5971061343433928	0.054752412491171465	0.33476201253267324	0.013379440632762482
1.548E-06	266750000	0.6037483872556143	0.05479125153428584	0.32789028869481074	0.01357007251528918
1.549E-06	273420000	0.6104965404996041	0.05483237560574742	0.3209510639012757	0.01372001999337282
1.55E-06	269900000	0.6173239129819055	0.05487493662058596	0.3139293127787783	0.01387183761873024
1.551E-06	270580000	0.6242007443148325	0.05491803293195212	0.30681127586357476	0.014069946889640686
1.552E-06	271820000	0.6311774840801189	0.05496333842562767	0.29963337092460424	0.014225806569649035
1.553E-06	271320000	0.6382456458051841	0.05501010329474699	0.2923627859734801	0.014381464926588887
1.554E-06	264740000	0.6453303415416964	0.05505709479575045	0.2850260421039195	0.01458652155863352
1.555E-06	267590000	0.6525065561137157	0.055106198133195665	0.2776395835759273	0.014747662177161574
1.556E-06	263100000	0.6597105394997936	0.05515553723474252	0.27017676617818187	0.014957157087281885
